FID,My_FID3,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
22,406,Totomachapa,Quego Pecuelayaa,Totomachapam,1,Fifth Peñol,Cabecera,217,Is contained,,,Acuña 1984;Google Maps, ,-97.14013485,16.84182225,https://en.wikipedia.org/wiki/16th_century
41,407,Cueva de Totomachapa, , ,2, ,Cave,406,Near,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=183,-97.13748286,16.84190445,https://en.wikipedia.org/wiki/16th_century
128,408,Tototepetongo, ,Tutepetongo,1, , ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.88064218,17.71306495,https://en.wikipedia.org/wiki/16th_century
141,409,Toxpalac,San Martín;San Martín Toxpalac,San Martín Toxpalam,1, ,Sujeto,374,Depends on,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw, ,-97.059806,18.101831,https://en.wikipedia.org/wiki/16th_century
208,411,Tula, ,Tula,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.34166667,20.05416667,https://en.wikipedia.org/wiki/16th_century
209,412,Tustepeque, ,Tozihuic,1, , ,0, ,,,Acuña 1984;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.096389,19.251389,https://en.wikipedia.org/wiki/16th_century
210,414,Minas de Tzacualpa,Tzacualpa, ,1, ,Mining Camp,0, ,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.79299459,18.7189456,https://en.wikipedia.org/wiki/16th_century
157,417,Ucila del Valle,Ucila;Ñuú Naho,Usila,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.52777778,17.87916667,https://en.wikipedia.org/wiki/16th_century
159,418,Cerro Uciltepetl,Uciltepetl, ,2, ,Hill,197,Near,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-96.53285665,17.88555326,https://en.wikipedia.org/wiki/16th_century
211,420,Puerto viejo de Utlatepec,Utlatepec, ,2, ,Harbor,0, ,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-94.778322,16.934443,https://en.wikipedia.org/wiki/16th_century
212,421,Ciudad de Veracruz,Veracruz,La Antigua,1,Coordinates on Cortes' house, ,0, ,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.32115988,19.32160162,https://en.wikipedia.org/wiki/16th_century
213,422,Puerto de Veracruz, , ,1, ,Harbor,0, ,,,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-96.13352315,19.20458007,https://en.wikipedia.org/wiki/16th_century
150,424,Xalapa de Guerrero, ,Jalapa,1, , ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.05369882,16.71322175,https://en.wikipedia.org/wiki/16th_century
