FID,My_FID4,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Type2,References,Type_URL,Time_span,X,Y
86,95,Chimalhuacan, ,Chimalhuacán,1, , ,0, , ,Acuña 1984;Google Maps;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.945278,19.416667
251,96,Sierras de Chisca, ,Appalachian Mountains,1, ,Hill,0, , ,Acuña 1984;Beck 1997,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,https://en.wikipedia.org/wiki/16th_century,-84.685367,35.007498
282,98,Medellín, ,Medellín,1, , ,0, , ,GoogleMaps, , ,-5.956332582,38.9668032
80,99,Cholulan,Chollola;Tollan Chollolan,Cholula De Rivadabia,1, , ,0, , ,Acuña 1984;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.30177942,19.05826813
252,100,Dieppe, ,Dieppe,1, ,City,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=202,https://en.wikipedia.org/wiki/16th_century,1.075249,49.922477
280,101,Jerusalem, ,Jerusalem,1, , ,0, , ,GoogleMaps, , ,35.23499396,31.77811344
163,102,Etzalco,Izalcos;Los Izalcos, ,1,"Municipality of Izalco, El Salvador",Region,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=10,https://en.wikipedia.org/wiki/16th_century,-89.677878,13.744947
287,103,Sevilla, ,Sevilla,1, , ,0, , ,GoogleMaps, , ,-5.99702321,37.39052274
165,104,Islas Filipinas,Filipinas;Islas del Poniente,Filipinas,1, ,Island,0, , ,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=575,https://en.wikipedia.org/wiki/16th_century,121.0099516,14.5990217
134,105,La Florida, , ,1, , ,0, , ,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-81.54681046,27.95827914
267,106,Fort Caroline, , ,2,Dissapeared. French Colonial Settlement, ,0, , ,Acuña 1984;McGrath 2000,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-81.431073,30.410923
