FID,My_FID6,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID6,FID_Relat2,Type2,References,Type_URL,X,Y,Time_span
37,91,Axacuba,Atacupa;Axacupan,Ajacuba,1, , ,0, ,91,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.11611111,20.08861111,https://en.wikipedia.org/wiki/16th_century
18,92,Axuchitlan, ,Ajuchitlan Del Progreso,1, , ,0, ,92,0, ,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-100.4986174,18.15850658,https://en.wikipedia.org/wiki/16th_century
472,93,Ayacac, , ,2,Barrio de Jaltenco,Barrio,676, ,93,0, ,Acuña 1985;Marcus et al. 1994: 78, ,-99.0886,19.7595,https://en.wikipedia.org/wiki/16th_century
353,95,Ayagualco, ,Calderón,1, ,Estancia,204, ,95,0, ,Acuña 1985;Allocated by research, ,-98.9779,18.8575,https://en.wikipedia.org/wiki/16th_century
183,96,Ayapango, , ,2, ,Estancia,6,Depends on,96,0, ,Acuña 1985;Allocated by research, ,-98.86078425,18.89235183,https://en.wikipedia.org/wiki/16th_century
5,98,Ayotzingo, ,Ayotzingo,1, , ,0, ,98,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.92944444,19.20916667,https://en.wikipedia.org/wiki/16th_century
93,99,Azcapotzalco, ,Azcapotzalco,1, , ,0, ,99,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.18333333,19.48277778,https://en.wikipedia.org/wiki/16th_century
101,101,Azulaques, ,Azulaquez,1, ,Mining Camp,0, ,101,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.80722222,18.57861111,https://en.wikipedia.org/wiki/16th_century
150,103,Cacalotepec, ,Cacalotepec,1, ,Sujeto,538,Depends on,103,0, ,Acuña 1985;Atlas 2010, ,-100.008889,18.047222,https://en.wikipedia.org/wiki/16th_century
437,104,Cacalotepetl, , ,2,No name available,Hill,531, ,104,0, ,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-99.1052,18.9347,https://en.wikipedia.org/wiki/16th_century
