FID,My_FID8,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
95,44,Atucpan, ,Actopan,1, , ,0, ,,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.94287937,20.26906587,https://en.wikipedia.org/wiki/16th_century
70,45,Convento de Tepetitlan,Tepetitlan,Convento franciscano de San Bartolomé apostol,1, ,Convent,0, ,,,Acuña 1986;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=931,-99.3798242,20.18579343,https://en.wikipedia.org/wiki/16th_century
97,46,Citlaltepec, ,Zitlaltepec,1, ,Corregimiento,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.14777778,19.80916667,https://en.wikipedia.org/wiki/16th_century
98,47,Costa del Sur, , ,2, ,Coast,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=221,-96.48172559,15.50118532,https://en.wikipedia.org/wiki/16th_century
89,48,Coyoacan,Coyohuacan;Coyuhuacan,Coyoacán,1, , ,0, ,,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.161944,19.35,https://en.wikipedia.org/wiki/16th_century
88,51,Culhuacan,Culiacan,Culiacan Rosales,1, , ,0, ,,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-107.393611,24.808611,https://en.wikipedia.org/wiki/16th_century
36,53,Edificio Pochtlan, ,Hueypoxtla,1, ,Building,0, ,,,Acuña 1986;Allocated by Reseach,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=143,-99.07794768,19.90815636,https://en.wikipedia.org/wiki/16th_century
52,58,Guatemala, ,Antigua Guatemala,1, , ,0, ,,,Acuña 1986;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-90.73486111,14.54983333,https://en.wikipedia.org/wiki/16th_century
81,61,Huaxtepeque,4 villas;Villa del Marquesado,Oaxtepec,1, ,Villa,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.97027778,18.90638889,https://en.wikipedia.org/wiki/16th_century
12,62,Huexotla,Huexutla,Huejotla,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.87166667,19.47888889,https://en.wikipedia.org/wiki/16th_century
33,63,Huexotzinco, ,Huejotzingo,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.40611111,19.16,https://en.wikipedia.org/wiki/16th_century
58,64,Huey Chiapan,Hueychiapan;Chiapan,Huichapan,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.64888889,20.37333333,https://en.wikipedia.org/wiki/16th_century
41,65,Huey Puchtla,Hueypuchtla;Iztac tzacuala;Iztac Tzaquala,Hueypoxtla,1, , ,0, ,,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.07836928,19.90709696,https://en.wikipedia.org/wiki/16th_century
104,66,Sierra Grande de Pedernales,Huey Tecpatepetl, ,1, ,Mountain Range,143,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-99.09921109,20.20282086,https://en.wikipedia.org/wiki/16th_century
57,67,Huey Xahualco, ,Hueyahualco,1, ,Sujeto,7,Depends on,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.97861111,18.67972222,https://en.wikipedia.org/wiki/16th_century
32,69,Hultziltepec,Huitziltepeque,Huitziltepec,1, ,Cabecera,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.47944444,17.75555556,https://en.wikipedia.org/wiki/16th_century
87,70,Islas de Santo Domingo, ,República Dominicana/Haiti,1, , ,0, ,,,Acuña 1986;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-71.03738513,19.01809264,https://en.wikipedia.org/wiki/16th_century
