FID,My_FID2,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
225,162,Río Grande, ,Río Mijangoa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps,River,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-96.4366948,16.43302248,https://en.wikipedia.org/wiki/16th_century
3,169,Mixtepec,Mixtepeque;Yozonuhuyco,Mixtepec,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.82972222,17.30472222,https://en.wikipedia.org/wiki/16th_century
107,171,Monzapa,Minzapa;San Francisco Minzapa,Minzapan,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.72694444,18.13833333,https://en.wikipedia.org/wiki/16th_century
17,173,Mulapa, ,Quinamaloapan,1, ,0, ,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw;Garcia de Leon 2011: map III.6,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.99739,18.058566,https://en.wikipedia.org/wiki/16th_century
26,175,Nanacatepeque, , ,2, ,0, ,,,Acuña 1984;Allocated by research, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-95.49366604,17.43383975,https://en.wikipedia.org/wiki/16th_century
61,176,Nanalcatepec, ,Nacaltepec,1, ,0, ,,,Acuña 1984;NGA_GNS,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.919031,17.508189,https://en.wikipedia.org/wiki/16th_century
54,177,Nexapa,Quegotee;Santiago Nexapa;Santiago de Nixapa;Villa de Santiago de Nixapa,Nejapa De Madero,1, ,0, ,,,Acuña 1984;INEGI: MEX_topoloc,Villa, ,-95.97980271,16.6068899,https://en.wikipedia.org/wiki/16th_century
83,182,Nochiztlan,Atuco,Nochixtlan,1, ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.22540225,17.45839532,https://en.wikipedia.org/wiki/16th_century
169,183,Nopala, ,Nopala,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.14361111,16.10583333,https://en.wikipedia.org/wiki/16th_century
243,186,Iglesia Nuestra Señora de la Asunción,Nuestra Señora de la Asunción,Templo de María en su Asunción,1, ,182,Within,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps,Church,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=931,-97.2244547,17.45887203,https://en.wikipedia.org/wiki/16th_century
191,188,Estancia Nuhuhuyyo,Ñuhuhuyyo;Nuhuhuyyo,Tutla,2, ,64,Depends on,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,Estancia, ,-96.66730492,17.07143225,https://en.wikipedia.org/wiki/16th_century
144,193,Ocelotepeque,Quiebeche,Ozolotepec,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.25833333,16.13111111,https://en.wikipedia.org/wiki/16th_century
71,196,Ocotlan, ,Ocotlan,1, ,138, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Pueblo comarcano,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.67527778,16.79166667,https://en.wikipedia.org/wiki/16th_century
27,199,Olutla, ,Oluta,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.89638889,17.9275,https://en.wikipedia.org/wiki/16th_century
49,200,Ometepec,Ometepeque,Ometepec,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.40555556,16.68305555,https://en.wikipedia.org/wiki/16th_century
260,201,Río de Ometepec, , ,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Allocated by research,River,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-97.97306206,16.2373509,https://en.wikipedia.org/wiki/16th_century
133,203,Oteapa, ,Oteapan,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.66388889,18.00638889,https://en.wikipedia.org/wiki/16th_century
218,204,Otzumatzintepeque, ,San Pedro Ozumacín,1,Pueblo with church,85,Depends on,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.224138,17.68143,https://en.wikipedia.org/wiki/16th_century
